question,volume,liquidity,slug,end_date,active
Will Trump nominate Judy Shelton as the next Fed chair?,98522161.626701,1114845.98928,will-trump-nominate-judy-shelton-as-the-next-fed-chair,2026-12-31T00:00:00Z,True
Will Liverpool win the 2025–26 English Premier League?,9999042.603945,1252239.74569,will-liverpool-win-the-202526-english-premier-league,2026-05-27T00:00:00Z,True
Will New Zealand win the 2026 FIFA World Cup?,9797514.61867,1341092.03844,will-new-zealand-win-the-2026-fifa-world-cup-635,2026-07-20T00:00:00Z,True
Will Solana dip to $40 in February?,995228.15836,93508.37138,will-solana-dip-to-40-in-february-2026,2026-03-01T05:00:00Z,True
Will Thomas Massie win the 2028 Republican presidential nomination?,990654.869644,313101.24611,will-thomas-massie-win-the-2028-republican-presidential-nomination,2028-11-07T00:00:00Z,True
Will XRP reach $4.00 in February?,984619.031836,114561.86553,will-xrp-reach-4-in-february-2026,2026-03-01T05:00:00Z,True
Will Renate Reinsve win Best Actress at the 98th Academy Awards?,99983.043837,20012.75233,will-renate-reinsve-win-best-actress-at-the-98th-academy-awards,2026-03-15T00:00:00Z,True
Backpack FDV above $4B one day after launch?,99867.015227,10833.25417,backpack-fdv-above-4b-one-day-after-launch-847-752-138,2027-01-01T05:00:00Z,True
Will Japan’s January 2026 unemployment rate be ≤2.1%?,99662.221421,2251.70612,will-japans-january-2026-unemployment-rate-be-2pt1,2026-03-03T00:00:00Z,True
Will the U.S. test a nuclear weapon by March 31 2026?,99383.518044,7473.98478,will-the-us-test-a-nuclear-weapon-by-march-31-2026,2026-03-31T00:00:00Z,True
Trump drops Powell investigation by February 28?,99290.852401,1912.85917,trump-drops-powell-investigation-by-february-28,2026-01-31T00:00:00Z,True
"Will Bitcoin reach $76,000 February 23-March 1?",99201.941708,26599.47755,will-bitcoin-reach-76k-february-23-march-1,2026-03-02T05:00:00Z,True
Will Trump and Putin meet next in Ukraine?,99036.438581,6105.70385,will-trump-and-putin-meet-next-in-ukraine-328-474,2026-06-30T00:00:00Z,True
"Trump invokes War Powers against Iran by March 31, 2026?",99024.372445,7242.0266,trump-invokes-war-powers-against-iran-by-march-31-2026,2026-03-31T00:00:00Z,True
"Will Russia capture all of Prymorske by March 31, 2026?",98944.084863,4396.1208,will-russia-capture-all-of-prymorske-by-march-31-2026-597,2026-01-31T00:00:00Z,True
"Will Elon Musk post 120-139 tweets from February 27 to March 6, 2026?",98771.332461,22067.60285,elon-musk-of-tweets-february-27-march-6-120-139,2026-03-06T17:00:00Z,True
Will Pakistan win the 2026 ICC Men’s T20 World Cup?,98665.235295,6507.25177,will-pakistan-win-the-2026-icc-mens-t20-world-cup,2026-03-08T00:00:00Z,True
Will Russia enter Kramatorsk by June 30?,98638.281228,53422.8119,will-russia-enter-kramatorsk-by-june-30-821-192,2026-06-30T00:00:00Z,True
"Will Ethereum reach $4,500 by December 31, 2026?",98496.033467,30063.4487,will-ethereum-reach-4500-by-december-31-2026,2027-01-01T05:00:00Z,True
"Will Ostium launch a token by December 31, 2026?",98472.874742,6919.3154,will-ostium-launch-a-token-by-december-31-2026,2027-01-01T05:00:00Z,True
Paradex FDV above $500M one day after launch?,98469.852662,11077.6476,paradex-fdv-above-500m-one-day-after-launch-436-777-818,2027-01-01T05:00:00Z,True
Will Israel or the US target an Iranian nuclear facility?,98065.437519,3347.79729,will-israel-or-the-us-target-an-iranian-nuclear-facility-276,2026-02-28T00:00:00Z,True
Mavericks vs. Bucks: O/U 218.5,97986.60971,633.89009,nba-dal-mil-2026-01-25-total-218pt5,2026-03-31T00:00:00Z,True
Will Silver (SI) hit (LOW) $55 by end of June?,97956.861776,3159.9251,si-hit-55-low-jun-2026-421-352-265-253-168,2026-06-30T17:30:00Z,True
"Will the DHS shutdown end between March 16-19, 2026?",9982.09741,6642.99099,will-the-dhs-shutdown-end-between-march-16-19-2026,2026-03-31T00:00:00Z,True
Will Al Gore be named in newly released Epstein files by February 28?,9972.994089,2423.64452,will-al-gore-be-named-in-newly-released-epstein-files-by-february-28,N/A,True
DSC Arminia Bielefeld vs. Hannover 96: O/U 1.5,9958.944515,3713.3913,bl2-bie-h96-2026-02-28-total-1pt5,2026-02-28T12:00:00Z,True
Will Jose Vinicius Junior be the 2025/2026 top UCL goal scorer?,9925.735974,1299.46206,will-jose-vinicius-junior-be-the-20252026-top-ucl-goal-scorer,2026-05-30T00:00:00Z,True
Will Real Madrid finish in the top 4 of the La Liga 2025–26 standings?,9921.171892,19271.54393,will-real-madrid-finish-in-the-top-4-of-the-la-liga-202526-standings,2026-05-30T00:00:00Z,True
"Will Solana reach $180 by December 31, 2026?",9907.552869,16506.4454,will-solana-reach-180-by-december-31-2026,2027-01-01T05:00:00Z,True
Will Justin Trudeau be named in newly released Epstein files by February 28?,9904.574934,1739.91851,will-justin-trudeau-be-named-in-newly-released-epstein-files-by-february-28,N/A,True
Will Pacifica launch a token by December 31 2026?,9891.468592,396.0392,will-pacifica-launch-a-token-by-december-31-2026,2027-01-01T05:00:00Z,True
Will Borussia Mönchengladbach win on 2026-02-28?,9886.94996,327954.1358,bun-moe-uni-2026-02-28-moe,2026-02-28T14:30:00Z,True
Will the price of Solana be above $80 on March 3?,9883.574903,11401.8486,solana-above-80-on-march-3,2026-03-03T17:00:00Z,True
Will Leandro Rocha win Big Brother Brasil 26?,9870.318564,3568.59704,will-leandro-rocha-win-big-brother-brasil-26,2026-04-30T00:00:00Z,True
Will FLING win the most seats in the 2025 Guinea-Bissau National People’s Assembly election?,9863.832597,1490.2019,will-fling-win-the-most-seats-in-the-2025-guinea-bissau-national-peoples-assembly-election,2025-11-23T00:00:00Z,True
"Will Donald Trump post 160-179 Truth Social posts from February 24 to March 3, 2026?",9857.589714,6146.70697,donald-trump-of-truth-social-posts-february-24-march-3-160-179,2026-03-03T17:00:00Z,True
Will there be at least 2 NYT banner headlines by February 28?,9848.940373,2289.24468,will-there-be-at-least-2-nyt-banner-headlines-by-february-28,2026-02-28T00:00:00Z,True
"Will ""Ultra-wide"" be said during the NYC Apple event on March 4?",9834.89584,277.0152,will-ultra-wide-be-said-during-the-nyc-apple-event-on-march-4,2026-03-04T00:00:00Z,True
Will the price of XRP be above $1.20 on March 1?,9831.706214,9410.19437,xrp-above-1pt2-on-march-1,2026-03-01T17:00:00Z,True
Will Argentina win Group J in the 2026 FIFA World Cup?,9831.090776,4051.9137,will-argentina-win-group-j-in-the-2026-fifa-world-cup,2026-06-27T00:00:00Z,True
"Will Loopscale launch a token by March 31, 2026?",9827.155947,404.7007,will-loopscale-launch-a-token-by-march-31-2026,2027-01-01T05:00:00Z,True
Will Eventbrite (EB) beat quarterly earnings?,9824.943113,1486.6324,eb-quarterly-earnings-gaap-eps-02-26-2026-neg0pt01,2026-02-26T22:00:00Z,True
StandX FDV above $400M one day after launch?,9812.619936,8544.465,standx-fdv-above-400m-one-day-after-launch-281-522,2027-01-01T05:00:00Z,True
Will Scotland win Group C in the 2026 FIFA World Cup?,9798.547556,3229.41788,will-scotland-win-group-c-in-the-2026-fifa-world-cup,2026-06-27T00:00:00Z,True
Will SpaceX’s initial public offering occur in March 2026 (ET)?,999.807025,1238.43969,will-spacexs-initial-public-offering-occur-in-march-2026-et,2026-12-31T00:00:00Z,True
Will the highest temperature in Ankara be 5°C or below on March 2?,999.018777,3290.75107,highest-temperature-in-ankara-on-march-2-2026-5corbelow,2026-03-02T12:00:00Z,True
"Will the price of Bitcoin be above $64,000 on March 5?",997.83543,1998.8955,bitcoin-above-64k-on-march-5,2026-03-05T17:00:00Z,True
Will Ashley Hinson be the Republican nominee for Senate in Iowa?,996.856335,3812.3875,will-ashley-hinson-be-the-republican-nominee-for-senate-in-iowa,2026-06-02T00:00:00Z,True
Will the Brooklyn Nets win more than 19.5 regular season games in 2025–26?,996.649865,934.9087,will-the-brooklyn-nets-win-more-than-19pt5-regular-season-games-in-202526,2026-04-12T00:00:00Z,True
Will the highest temperature in Sao Paulo be 24°C on February 28?,996.15593,263.1633,highest-temperature-in-sao-paulo-on-february-28-2026-24c,2026-02-28T12:00:00Z,True
Will Posy Li get engaged in Bridgerton: Season 4?,995.039845,4409.35991,will-posy-li-get-engaged-in-bridgerton-season-4,2026-02-26T00:00:00Z,True
Spread: CD Palestino (-2.5),994.81,124.36228,sud-unc-pal-2026-03-04-spread-away-2pt5,2026-03-05T00:30:00Z,True
"Will Donald Trump say ""Insurrection Act"" on Truth Social this week?",994.53981,297.8043,will-donald-trump-say-insurrection-act-on-truth-social-this-week,2026-03-01T00:00:00Z,True
"Anthony Albanese out as Prime Minister of Australia by June 30, 2026?",994.099306,2887.4256,anthony-albanese-out-as-prime-minister-of-australia-by-june-30-2026,2026-12-31T00:00:00Z,True
Will Okta (OKTA) beat quarterly earnings?,993.911177,1661.5084,okta-quarterly-earnings-nongaap-eps-03-04-2026-0pt85,2026-03-04T22:00:00Z,True
"Will the price of Bitcoin be between $70,000 and $72,000 on March 2?",993.41873,2460.56005,will-the-price-of-bitcoin-be-between-70000-72000-on-march-2,2026-03-02T17:00:00Z,True
Spread: 1. FC Union Berlin (-1.5),992.737391,8562.8316,bun-moe-uni-2026-02-28-spread-away-1pt5,2026-02-28T14:30:00Z,True
FC Internazionale Milano vs. Genoa CFC: Both Teams to Score,988.436677,129404.7304,sea-int-gen-2026-02-28-btts,2026-02-28T19:45:00Z,True
"Will Bill Clinton say ""Six Seven"" during his Epstein testimony?",987.759439,1699.78104,will-bill-clinton-say-six-seven-during-his-epstein-testimony,2026-02-27T00:00:00Z,True
"Will Trump’s approval rating be between 41.5 and 41.9 on March 6, 2026?",987.751421,2443.5693,will-trumps-approval-rating-be-between-41pt5-and-41pt9-on-march-6-2026,2026-03-07T00:00:00Z,True
Will Max McGreevy win the 2026 Cognizant Classic in The Palm Beaches?,986.497478,695.87965,2026-cognizant-classic-in-the-palm-beaches-winner-max-mcgreevy-win,2026-03-01T00:00:00Z,True
"Will the price of Ethereum be between $1,500 and $1,600 on March 1?",983.65,1567.56266,will-the-price-of-ethereum-be-between-1500-1600-on-march-1,2026-03-01T17:00:00Z,True
Will Uranium (USD/LBS) hit $110 (HIGH) by end of February?,982.452437,49.52448,will-uranium-usdlbs-hit-110-high-by-end-of-february,2026-02-28T00:00:00Z,True
Will Saxon Callahan be the Democratic nominee for Senate in New Jersey?,979.794861,2682.51099,will-saxon-callahan-be-the-democratic-nominee-for-senate-in-new-jersey,2026-06-02T00:00:00Z,True
Ismaily SC vs. El Gouna SC: O/U 2.5,99.991423,60901.2895,egy1-iss-egs-2026-02-28-total-2pt5,2026-02-28T19:30:00Z,True
StarCraft II: Clem vs Reynor - Map 4 Winner,99.99,7952.60814,sc2-clem-reynor-2026-02-28-game4,2026-02-28T15:00:00Z,True
Map Handicap: Clem (-3.5) vs Reynor (+3.5),99.99,5862.63532,sc2-clem-reynor-2026-02-28-map-handicap-away-3pt5,2026-02-28T15:00:00Z,True
StarCraft II: SHIN vs ShoWTimE - Map 3 Winner,99.99,1160.9588,sc2-shin-showti-2026-02-28-game3,2026-02-28T16:00:00Z,True
StarCraft II: Clem vs Reynor - Map 3 Winner,99.99,7876.28158,sc2-clem-reynor-2026-02-28-game3,2026-02-28T14:00:00Z,True
Map Handicap: Clem (-2.5) vs Reynor (+2.5),99.98,5778.37821,sc2-clem-reynor-2026-02-28-map-handicap-away-2pt5,2026-02-28T15:00:00Z,True
Will the price of Solana be between $80 and $90 on March 4?,99.754383,1678.4414,will-the-price-of-solana-be-between-80-90-on-march-4,2026-03-04T17:00:00Z,True
Real Madrid CF vs. Getafe CF: Both Teams to Score,99.73897,3042.5777,lal-rea-get-2026-03-02-btts,2026-03-02T20:00:00Z,True
Will Sheldon Keefe win the 2025–2026 NHL Jack Adams Award?,99.71,120.30259,nhl-2025-26-jack-adams-award-sheldon-keefe,2026-06-30T00:00:00Z,True
Will Paper Rex win Masters Santiago 2026?,99.562321,347.5169,will-paper-rex-win-masters-santiago-2026,2026-03-15T00:00:00Z,True
